time_s,chassis_test_telemetry.command_forward_speed_mps,chassis_test_telemetry.command_turn_speed_radps,chassis_test_telemetry.control_dt_s,chassis_test_telemetry.encoder_left_count,chassis_test_telemetry.encoder_left_delta,chassis_test_telemetry.encoder_left_speed_cps,chassis_test_telemetry.encoder_right_count,chassis_test_telemetry.encoder_right_delta,chassis_test_telemetry.encoder_right_speed_cps,chassis_test_telemetry.forward_speed_mps,chassis_test_telemetry.imu_gyro_z_radps,chassis_test_telemetry.imu_yaw_deg,chassis_test_telemetry.motor_left_output,chassis_test_telemetry.motor_right_output,chassis_test_telemetry.phase_elapsed_s,chassis_test_telemetry.phase_index,chassis_test_telemetry.turn_speed_radps,chassis_test_telemetry.wheel_left_pid_d_out,chassis_test_telemetry.wheel_left_pid_error,chassis_test_telemetry.wheel_left_pid_i_out,chassis_test_telemetry.wheel_left_pid_in_deadband,chassis_test_telemetry.wheel_left_pid_p_out,chassis_test_telemetry.wheel_left_speed_mps,chassis_test_telemetry.wheel_left_target_speed_mps,chassis_test_telemetry.wheel_right_pid_d_out,chassis_test_telemetry.wheel_right_pid_error,chassis_test_telemetry.wheel_right_pid_i_out,chassis_test_telemetry.wheel_right_pid_in_deadband,chassis_test_telemetry.wheel_right_pid_p_out,chassis_test_telemetry.wheel_right_speed_mps,chassis_test_telemetry.wheel_right_target_speed_mps
0.963985300,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.869998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
0.983823500,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.889998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.016384900,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.919998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.039219100,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.949998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.055501700,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.959998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.075535950,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.979998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.096048350,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.009998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.123737700,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.029998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.149837800,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.059998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1.170029250,0.000000,0.000000,0.010000,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.079998,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
